image,name,selling,rating,iButtonData,doYouKnow,salesRanking,salesMonthAndYear
,MG,2019,4.5,"MG Motors

MG Motors is a British automobile manufacturer that made its India debut in 2019. The company is now owned by Chinese automotive giant, SAIC Motors and offers SUVs and EVs in its portfolio.",The MG ZS EV compact SUV is the company’s best selling model globally.,8,MAR 24
,Nissan,2005,4.2,"Nissan India

Nissan cars is a globally renowned Japanese car manufacturer that entered the Indian market in 2005. Since then, the company has carved a niche for itself by working with its alliance partner Renault India to offer stylish and economical cars at a competitive price point.",The Nissan GT-R has been a popular car among Indian celebrities. Bollywood superstar John Abraham owned and featured in ad commercials for the GT-R.,12,MAR 24
,Jeep,2016,4.8,"Jeep India

Jeep cars is an American SUV manufacturer that is part of the Stellantis Group of auto companies. Making its India debut in 2016, the company is known for products like the Compass and the Wrangler. The brand also supplies the 2.0-litre diesel engine to many brands in the country.","Ever wondered where the name “Jeep” came from? One theory is that original wartime vehicles were described as “General Purpose,” or GP for short sounds like Jeep, and the name just stuck!",14,MAR 24
,Renault,2011,4.6,"Renault India

Renault cars is a French automaker operating in India with its Alliance partner, Nissan. The company entered India in 2011 with a Mahindra joint venture and since then has created a niche by offering value for money products in the country.",The design of the Renault Kwid hatchback was inspired from the strong stance of and powerful presence of an Indian Rhinoceros.,9,MAR 24
,Volkswagen,2007,3.9,"Volkswagen India

Volkswagen cars made its entry in the Indian market at the start of 2007. The company offered a wide variety of products before cementing its position for its robust build quality, powerful engine and premium driving experience. Currently, the company offers two SUVs and one sedan in the market.","Volkswagen Group also owns other luxury marquees like - Audi, Porsche, Lamborghini and Bentley globally.",10,MAR 24
,Volvo,2007,4.5,"Volvo

Volvo is a Swedish automaker that is known for making the safest cars on the market. The simple aesthetics and innovative technology make Volvo cars one of the most affordable luxury car brands in the country. The brand made its India debut in 2007 and offers a range of SUVs and one sedan in the market.", Volvo invented the three point seat belt but never patented it so that this safety innovation could be used by other automakers.,22,MAR 24
,Citroen,2021,4.2,"Citroen India

Citroen is a premier French manufacturer known for its comfortable and affordable cars. Part of the Stellantis group, the company made its India debut in 2021 and focuses on offering affordable vehicles with a twist.",The Citroen 2CV was designed keeping in mind that suspension had to be good enough to carry a basket of eggs through a ploughed field without them breaking,13,MAR 24
,Audi,2007,4.8,"Audi India

Audi is a German luxury car manufacturer that started its India journey in 2007 with CBU models. The brand is owned by the Volkswagen Group and is known to offer cars with understated modern design, comfort and great build quality. ",Audi was the first car maker to use dual clutch gearboxes in their vehicles.,17,MAR 24
,Jaguar,2009,4.6,"Jaguar India

Jaguar cars is a British automaker owned by Tata Motors. The brand started selling cars in India from 2009 and is known for making luxury sedans, SUVs and sports cars. The marquees cars are big on comfort, luxury and fun to drive cars.",Jaguar started as a sidecar manufacturer for motorcycles. The company was founded as the Swallow Sidecar Company.,24,MAR 24
,Land Rover,2009,3.9,"Land Rover

Land Rover is a British luxury SUV manufacturer owned by Tata Motors. SUVs that can go off-road and provide comfort and luxury at the same time, is what Land Rover is known for. The company made its India debut in 2009 and is famous for its Range Rover and Defender brands in India.","Land Rover was born in 1947 as a sketch in sand, when brothers Spencer and Maurice Wilks believed they could build a superior version of the Willys Jeep.",18,MAR 24
,Porsche,2004,4.5,"Porsche

Porsche is a German automaker that specialises in making high performance sports cars, SUVs, and sedans. Porsche is owned by the Volkswagen Group and started its India operations in 2004. The company also offers vehicle development and engineering services to other manufacturers.","The world famous Beetle was sold by Volkswagen but was designed, developed and engineered by Porsche.",25,MAR 24
,Mini,2014,4.2,"Mini Cooper

Mini is a British small car brand known for its two door performance hatchbacks. Mini cars are popular for their retro design language and fun to drive (go-kart) like handling.  The brand made its India debut in 2014 and currently operates from BMW dealerships across the country.",As we know Minis are small but the Guiness World Record for the most people packed into a Mini is 28.,26,MAR 24
,Lamborghini,2011,4.8,"Lamborghini

Lamborghini is a supercar manufacturer that is based out of Sant’Agata Bolognese, Italy. The company started its lifecycle as a tractor manufacturer but is currently owned by Volkswagen Group. The company made its entry into the India market in 2011 and operates through its dealer network across the country.",Apart from making supercars and SUVs - Lamborghini also makes marine engines for offshore powerboats.,27,MAR 24
,Ferrari,2011,4.6,"Ferrari

Ferrari is an Italian sports car manufacturer based in Maranello, Italy. Founded by Enzo Ferrari, the company is known for its long association with racing (Formula 1). The brand made its India debut in 2011 and maintains operation through its dealer partner.",The Ferrari Red or as many know it as Rosso Corsa was actually assigned to Italian race cars by the International Automobile Federation.,28,MAR 24
,McLaren,2022,3.9,"Mclaren

Mclaren is a supercar/hypercar manufacturer based in Woking, England. The company is known for its extreme performance cars and its F1 team. In India the company operates through its dealer partner in Mumbai from 2022.",Mclaren pioneered the use of carbon fibre and it was the first Formula 1 team to use a carbon fibre monocoque chassis.,29,MAR 24
,Aston Martin ,2011,4.5,"Aston Martin

Aston Martin is a British manufacturer of luxury sports cars, sedans and SUVs. Made popular by the James Bond movie franchise, these cars are known for grand touring with performance and comfort.","Aston Martin Lagonda Taraf (ultimate luxury in Arabic) based on the Rapide was offered only in the Middle East, UK and Europe market in limited numbers.",30,MAR 24
,Bentley,2004,4.2,"Bentley

Bentely is a British car brand known for making ultra luxurious sedans, GT cars, coupes and even race cars. The brand is owned by the Volkswagen Group and rivals the likes of Rolls Royce, Aston Martin and Maserati. The company made its India debut in 2004 and since then has maintained exclusivity by offering a limited number of models.","Bentley holds the record for the world's fastest luxury car, the Continental GT Speed, reaching speeds of up to 208 mph (332 km/h).",33,MAR 24
,Isuzu,2012,4.8,"Isuzu

Isuzu is a legacy Japanese automaker that made its India debut in 2012. The company specialises in SUVs and pick-up trucks. Currently, the company has a lean portfolio of 3 models in the country.",Isuzu SUVs are tailor made for Indian conditions and back by 2-years of extensive research.,23,MAR 24
,Maserati,2011,4.6,"Maserati

Maserati is an Italian luxury car maker producing sedans, grand tourers, sports cars and SUVs. The company is owned by the Stellantis group of companies and is headquartered in Modena.","The trident logo of the company comes from the Statue of Neptune that is in the Italian city of Bologna, the city where Maserati was founded.",32,MAR 24
,Lexus,2017,3.9,"Lexus India

Lexus cars is a luxury subsidiary of the Japanese automaker Toyota. The brand was initially conceived to produce luxurious sedans but has since then made SUVs, coupes, sports cars and convertibles. India operations of Lexus started in 2017 with three products ES300h, RX450h and LX450d.","For its flagship 2-seater, the LFA, Lexus used the expertise of Yamaha to tune the engine for great acoustics.",21,MAR 24
,Rolls Royce,2007,4.5,"Rolls-Royce

Rolls Royce is a luxury car manufacturer from Goodwood, England. The brand is known for its ultra-luxurious sedans, bespoke cars, and SUVs. Rolls Royce is owned by the BMW Group.","Upon his death, the Maharaj of Patiala had a total of 44 Rolls Royce cars in his garage. At one point - 1 in 6 Rolls Royce customers were Indians.",31,MAR 24
,Force Motors,2008,4.2,"Force

Force Motors is an Indian automobile manufacturer known for its large people movers and off-road SUVs. Currently, the company sells one model in the Indian market but is committed to offering powerful engines and affordable pricing.","Force Motors has a strong partnership with Mercedes-Benz, assembling engines and axles for their Indian-made cars.",19,MAR 24
,Byd,2007,4.8,"BYD

BYD cars (Build Your Dreams) is a Chinese automotive major that entered the Indian market in 2007. The company is known for its advanced electric vehicles cutting-edge technology, safety and design.","BYD cars is known for its innovative Blade Battery technology, which is used by many Indian manufacturers for their EVs.",20,MAR 24
,Lotus,2023,4.6,"Lotus Cars

Lotus cars is an iconic British sports car manufacturer now owned by Chinese automobile giant, Geely. The brand made its India debut at the end of 2023 through its dealer partner. Lotus cars are known for their racing heritage and unmatched driving experience.","Popular Lotus model, the Elise used fewer parts than a washing machine!",34,MAR 24
