brand,carname,salesranking,launchedinput,movrating,heroimage,heroimagename,grayimage,grayname,bodytype,subbodytype,active,redimage,redname,blueimage,blueimagename,blackimage,blackimagename,greenimage,greenimagename,creamimage,creamimagename,brownimage,brownimagename,yellowimage,yellowimagename,purpleimage,purpleimagename,whiteimage,whitename,seater,fueltype,transmissiontype,NCAP,upcoming,itext,carbrowsher,pro,cons,asliheader1,aslisummary1,engineh1,engineh2,enginesummary1,engineauto1,engineimt1,enginemanual1,engineh2a,engineh21,enginesummary2,engineauto2,engineimt2,enginemanual2,engineh3,engineh31,enginesummary3,engineauto3,engineimt3,enginemanual3,engineh4,engineh41,enginesummary4,engineauto4,engineimt4,enginemanual4,standard,extended,Service,keyF1,keyF1text,keyF2,keyF2text,keyF3,keyF3text,keyF4,keyF4text,keyF5,keyF5text,keyF6,keyF6text,keyF7,keyF7text,keyF8,keyF8text,keyF9,keyF9text,keyF10,keyF10text,keyF11,keyF11text,keyF12,keyF12text,keyF13,keyF13text,keyF14,keyF14text,keyF15,keyF15text,keyF16,keyF16text,keyF17,keyF17text,keyF18,keyF18text,keyF19,keyF19text,keyF20,keyF20text,spaceC1,spaceC1text,spaceC2,spaceC2text,spaceC3,spaceC3text,spaceC4,spaceC4text,spaceC5,spaceC5text,spaceC6,spaceC6text,spaceC7,spaceC7text,spaceC8,spaceC8text,spaceC9,spaceC9text,spaceC10,spaceC10text,spaceC11,spaceC11text,spaceC12,spaceC12text,spaceC13,spaceC13text,spaceC14,spaceC14text,spaceC15,spaceC15text,spaceC16,spaceC16text,spaceC17,spaceC17text,spaceC18,spaceC18text,spaceC19,spaceC19text,spaceC20,spaceC20text,storageC1,storageC1text,storageC2,storageC2text,storageC3,storageC3text,storageC4,storageC4text,storageC5,storageC5text,storageC6,storageC6text,storageC7,storageC7text,storageC8,storageC8text,storageC9,storageC9text,storageC10,storageC10text,storageC11,storageC11text,storageC12,storageC12text,storageC13,storageC13text,storageC14,storageC14text,storageC15,storageC15text,storageC16,storageC16text,storageC17,storageC17text,storageC18,storageC18text,storageC19,storageC19text,storageC20,storageC20text,
662526a41dc6cd46bdca6ab6,Brezza,Updated,2022,4.2,,,,,SUV,SUB-COMPACT,true,,,,,,,,,,,,,,,,,,,<ul><li>5</li></ul>,<ul><li>Petrol</li><li>CNG</li></ul>,<ul><li>Manual</li><li>AT</li></ul>,4,false,<ul><li>DRIVING DYNAMICS- 3.7</li><li>MILEAGE- 4.1</li><li>RIDE & COMFORT4.3</li><li>RESALE- 3.3</li><li>SERVICE COST- 3.9</li></ul>,,<ul><li>Good Looking Compact Suv With Great Road Presence And Strong Build</li><li> Fuel Economy Is One Of The Best In The Segment</li><li> Comes With A 6-Speed Torque-Converter For Smooth Ride</li><li> Has Decent Amount Of Features</li></ul>,<ul><li>No Diesel And Turbo-Petrol Options</li><li> At Options And With Low Mileage</li><li> Interior Fit And Finish Is Not That Great</li><li> Small Boot With 328L Capacity</li></ul>,662526a41dc6cd46bdca6ab6 Brezza,,1.5 Litre Petrol,Best for those seeking mileage,"<pre class=""ql-syntax"" spellcheck=""false"">engine is best used for sedate and smooth driving. Its does not like harsh acceleration and has bad NVH levels further up the rev range</pre><p><br></p>","102 Bhp, 137 Nm, 6-Speed",,"102 Bhp, 137 Nm, 5-Speed",1.5 Litre CNG,Best for those seeking mileage,"<pre class=""ql-syntax"" spellcheck=""false"">engine is best used for sedate and smooth driving. Its does not like harsh acceleration and has bad NVH levels further up the rev range</pre><p><br></p>",,,"86 Bhp, 121 Nm, 5-Speed",,,,,,,,,,,,,"2 Years / 40,000 Kms","5 Years / 1,00,000 Kms","10,000 Kms / 12 Months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662526a41dc6cd46bdca6ab6,Wagon R,Updated,2022,3.8,,,,,Hatchback,MID-LEVEL,true,,,,,,,,,,,,,,,,,,,<ul><li>5</li></ul>,<ul><li>Petrol</li><li>CNG</li></ul>,<ul><li>Manual</li><li>AMT</li></ul>,NA,false,<ul><li>DRIVING DYNAMICS- 3.8</li><li>MILEAGE- 4.5</li><li>RIDE & COMFORT4.4</li><li>RESALE- 3.5</li><li>SERVICE COST- 4.4</li></ul>,,<ul><li>Both Engine Options Are Smooth And Refined While Being Economical</li><li> Overall Decent Ride Quality And Sorted Ergonomics For Driver</li><li> Spacious Cabin With Good Headroom And Knee Room </li></ul>,<ul><li>Nvh Levels Are On The Poorer Side</li><li> The Wagon-R Lacks Premium Appeal</li><li> Evident Body Roll Exists Due To Tallboy Design When Driven Fast</li><li> Quality And Fit And Finish Of Interior Can Be Better</li></ul>,662526a41dc6cd46bdca6ab6 Wagon R,,1 Litre Petrol,Best for enthusiasts,"<pre class=""ql-syntax"" spellcheck=""false"">Powerful with great low end torque. Decent fuel efficency but can be a great highway crusier and city car too with it's automatic gearbox</pre><p><br></p>","66 Bhp, 89 Nm, 5-Speed",,"66 Bhp, 89 Nm, 5-Speed",1.2 Litre Petrol,Best for enthusiasts,"<pre class=""ql-syntax"" spellcheck=""false"">Powerful with great low end torque. Decent fuel efficency but can be a great highway crusier and city car too with it's automatic gearbox</pre><p><br></p>","89 Bhp, 113 Nm, 5-Speed",,"89 Bhp, 113 Nm, 5-Speed",1 Litre CNG,Best for enthusiasts,"<pre class=""ql-syntax"" spellcheck=""false"">Powerful with great low end torque. Decent fuel efficency but can be a great highway crusier and city car too with it's automatic gearbox</pre><p><br></p>",,,"56 Bhp, 82 Nm, 5-Speed",,,,,,,"2 Years / 40,000 Kms","5 Years / 1,00,000 Kms","10,000 Kms / 12 Months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662526a41dc6cd46bdca6ab6,Fronx,Launched,2023,4.2,,,,,SUV,MICRO,true,,,,,,,,,,,,,,,,,,,<ul><li>5</li></ul>,<ul><li>Petrol</li></ul>,<ul><li>Manual</li><li>AMT</li><li>AT</li></ul>,NA,false,<ul><li>DRIVING DYNAMICS- 3.5</li><li>MILEAGE- 3.8</li><li>RIDE & COMFORT4.1</li><li>RESALE- 4.8</li><li>SERVICE COST- 4.0</li></ul>,,<ul><li>Looks Stylish And Premium</li><li> Great Fuel Economy And Has A Cng Option Too</li><li> Powerfull engine options</li><li> Refined Engine</li><li> Loads Of New Features</li><li> Spacious Interior</li></ul>,<ul><li>Interior Fit And Finish Is Not That Great</li><li> AT(Torque Converter)is good but on the Expensive side</li><li> There is a turbo-lag under 2500 rpm in the 1.0L Turbo Engine.</li></ul>,662526a41dc6cd46bdca6ab6 Fronx,,1.2 Litre Petrol,Best for city driving,"<pre class=""ql-syntax"" spellcheck=""false"">engine is suitable for individuals that drive a lot and have constant highway commuting</pre><p><br></p>","89 Bhp, 113 Nm, 5-Speed",,"89 Bhp, 113 Nm, 5-Speed",1.2 Litre CNG,Best for city driving,"<pre class=""ql-syntax"" spellcheck=""false"">engine is suitable for individuals that drive a lot and have constant highway commuting</pre><p><br></p>",,,"76 Bhp, 98 Nm, 5-Speed",1 Litre Petrol,Best for city driving,"<pre class=""ql-syntax"" spellcheck=""false"">engine is suitable for individuals that drive a lot and have constant highway commuting</pre><p><br></p>","98 Bhp, 148 Nm, 6-Speed",,"98 Bhp, 148 Nm, 5-Speed",,,,,,,"2 Years / 40,000 Kms","5 Years / 1,00,000 Kms","10,000 Kms / 12 Months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662526a41dc6cd46bdca6ab6,Jimny,Launched,2023,3.8,,,,,SUV,OFF-ROAD,true,,,,,,,,,,,,,,,,,,,<ul><li>5</li></ul>,<ul><li>Petrol</li></ul>,<ul><li>Manual</li><li>AT</li></ul>,NA,false,<ul><li>DRIVING DYNAMICS- 3.6</li><li>MILEAGE- 3.9</li><li>RIDE & COMFORT4.2</li><li>RESALE- 3.9</li><li>SERVICE COST- 3.7</li></ul>,,<ul><li>Most affordable 4X4 in the market</li><li> Goes with ease over potholes and speedbreakers</li><li> Decent amount of features in the car</li><li> Good engine refinement and smooth to drive</li><li> Rear seat space is best in the segment</li><li> Fresh and Dynamic design of the car.</li></ul>,<ul><li>Not the best in terms of performance</li><li> Interior Plastic quality is not that premium</li><li> Comes with 4-speed AT which is not the best.</li></ul>,662526a41dc6cd46bdca6ab6 Jimny,,1.5 Litre Petrol,An allrounder,"<pre class=""ql-syntax"" spellcheck=""false"">Great motor with good performance and fun to drive.</pre><p><br></p>","103 Bhp, 134 Nm, 4-Speed",,"103 Bhp, 134 Nm, 5-Speed",,,,,,,,,,,,,,,,,,,"2 Years / 40,000 Kms","5 Years / 1,00,000 Kms","10,000 Kms / 12 Months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662526a41dc6cd46bdca6ab6,Invicto,Launched,2023,4.2,,,,,MPV,PREMIUM LEVEL,true,,,,,,,,,,,,,,,,,,,<ul><li>7</li></ul>,<ul><li>Hybrid</li></ul>,<ul><li>CVT</li></ul>,NA,false,<ul><li>DRIVING DYNAMICS- 3.7</li><li>MILEAGE- 4.1</li><li>RIDE & COMFORT4.3</li><li>RESALE- 3.3</li><li>SERVICE COST- 3.9</li></ul>,,<ul><li>One of the Spacious and comfortable 7-seater</li><li> Hybrid Technology makes it more economical for city drives</li><li> Performance is sufficient for comfortable driving</li><li> Very smooth and easy to drive.</li></ul>,<ul><li>Lesser features for the price they come for</li><li> Limited powertrain options.</li></ul>,662526a41dc6cd46bdca6ab6 Invicto,,2 Litre Hybrid (Petrol+Electric),Best for those seeking mileage,"<pre class=""ql-syntax"" spellcheck=""false"">engine is best used for sedate and smooth driving. Its does not like harsh acceleration and has bad NVH levels further up the rev range</pre><p><br></p>","150 Bhp, 188 Nm, NA",,,,,,,,,,,,,,,,,,,,,"2 Years / 40,000 Kms","5 Years / 1,00,000 Kms","10,000 Kms / 12 Months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662526a41dc6cd46bdca6ab6,Eeco,Updated,2022,3.8,,,,,MPV,ENTRY LEVEL,true,,,,,,,,,,,,,,,,,,,<ul><li>5</li><li>7</li></ul>,<ul><li>Petrol</li><li>CNG</li></ul>,<ul><li>Manual</li></ul>,NA,false,<ul><li>DRIVING DYNAMICS- 3.8</li><li>MILEAGE- 4.5</li><li>RIDE & COMFORT4.4</li><li>RESALE- 3.5</li><li>SERVICE COST- 4.4</li></ul>,,<ul><li>Easy ingress/egress</li><li> Good ground clearance</li><li> Nice and powerful engine</li><li>Low maintenance.</li></ul>,<ul><li>Bumpy suspension</li><li> uncomfortable ride qualty</li><li>No rear wiper</li><li> absence of basic safety features</li><li> not so good fit and finish qulaity.</li></ul>,662526a41dc6cd46bdca6ab6 Eeco,,1.2 Litre Petrol,Best for enthusiasts,"<pre class=""ql-syntax"" spellcheck=""false"">Powerful with great low end torque. Decent fuel efficency but can be a great highway crusier and city car too with it's automatic gearbox</pre><p><br></p>",,,"80 Bhp, 104 Nm, 5-Speed",1.2 Litre CNG,Best for enthusiasts,"<pre class=""ql-syntax"" spellcheck=""false"">Powerful with great low end torque. Decent fuel efficency but can be a great highway crusier and city car too with it's automatic gearbox</pre><p><br></p>",,,"71 Bhp, 95 Nm, 5-Speed",,,,,,,,,,,,,"2 Years / 40,000 Kms","5 Years / 1,00,000 Kms","10,000 Kms / 12 Months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662526a41dc6cd46bdca6ab6,XL6,Launched,2022,4.2,,,,,MPV,MID-LEVEL,true,,,,,,,,,,,,,,,,,,,<ul><li>6</li></ul>,<ul><li>Petrol</li><li>CNG</li></ul>,<ul><li>Manual</li><li>AT</li></ul>,3,false,<ul><li>DRIVING DYNAMICS- 3.5</li><li>MILEAGE- 3.8</li><li>RIDE & COMFORT4.1</li><li>RESALE- 4.8</li><li>SERVICE COST- 4.0</li></ul>,,<ul><li>Large Seats Offer Good Support</li><li> Lots Of Head And Knee Room</li><li> The Xl6 Is Adequately Laden With Comfort And Safety Equipment</li><li> Better Design Than The Ertiga Which For Many Buyers Has The Cab Image Associated With It. It Continues To Be The Most Affordable Car With Captain Seats In The Second Row.</li></ul>,<ul><li>Non-Removable Third-Row Seats Make Less Boot Space Than The Smaller Renault Triber In 2-Row Mode (550 Litres Vs 625 Litres For Triber)</li><li> Not Fun To Drive With Lethargic Handling And No Go</li><li> Diesel  Option Is Missed</li><li> Safety Rating Could Be Concern For Some Buyers</li></ul>,662526a41dc6cd46bdca6ab6 XL6,,1.5 Litre Petrol,Best for city driving,"<pre class=""ql-syntax"" spellcheck=""false"">engine is suitable for individuals that drive a lot and have constant highway commuting</pre><p><br></p>","102 Bhp, 137 Nm, 6-Speed",,"102 Bhp, 137 Nm, 5-Speed",1.5 Litre CNG,Best for city driving,"<pre class=""ql-syntax"" spellcheck=""false"">engine is suitable for individuals that drive a lot and have constant highway commuting</pre><p><br></p>",,,"87 Bhp, 121 Nm, 5-Speed",,,,,,,,,,,,,"2 Years / 40,000 Kms","5 Years / 1,00,000 Kms","10,000 Kms / 12 Months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662526a41dc6cd46bdca6ab8,Alcazar,Launched,2021,3.8,,,,,SUV,COMPACT 6/7 SEATER,true,,,,,,,,,,,,,,,,,,,<ul><li>6</li><li>7</li></ul>,<ul><li>Petrol</li><li>Diesel</li></ul>,<ul><li>Manual</li><li>AT</li><li>DCT</li></ul>,3,false,<ul><li>DRIVING DYNAMICS- 3.6</li><li>MILEAGE- 3.9</li><li>RIDE & COMFORT4.2</li><li>RESALE- 3.9</li><li>SERVICE COST- 3.7</li></ul>,,<ul><li>Dual-Tone cognac brown interiors make it more premium</li><li> Good ride quality in city and on highway</li><li> Good ground clearance of 200mm suitable for Indian roads</li><li>Feature loaded car (Panoramic sunroof</li><li> Cooled glovebox</li><li> 64 color ambient light</li><li> alloy wheels standard)</li><li> Available in 6&7-seater versions </li></ul>,<ul><li>3rd-row not suitable for adults</li><li> Lacks built quality</li><li> Diesel engine lacks power.</li></ul>,662526a41dc6cd46bdca6ab8 Alcazar,,"1.5 Litre	Petrol",An allrounder,"<pre class=""ql-syntax"" spellcheck=""false"">Great motor with good performance and fun to drive.</pre><p><br></p>","158 Bhp, 253 Nm, 7-Speed",,"158 Bhp, 253 Nm, 6-Speed",1.5 Litre Diesel,An allrounder,"<pre class=""ql-syntax"" spellcheck=""false"">Great motor with good performance and fun to drive.</pre><p><br></p>","114 Bhp, 250 Nm, 6-Speed",,"114 Bhp, 250 Nm, 6-Speed",,,,,,,,,,,,,3 Years / Unlimited Kms,"7 Years / 1,40,000 Kms","10,000 Kms / 12 Months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662526a41dc6cd46bdca6ab8,Aura,Launched,2023,4.2,,,,,Sedan,SUB-COMPACT,true,,,,,,,,,,,,,,,,,,,<ul><li>5</li></ul>,<ul><li>Petrol</li><li>CNG</li></ul>,<ul><li>Manual</li><li>AMT</li></ul>,2,false,<ul><li>DRIVING DYNAMICS- 3.7</li><li>MILEAGE- 4.1</li><li>RIDE & COMFORT4.3</li><li>RESALE- 3.3</li><li>SERVICE COST- 3.9</li></ul>,,<ul><li>Stylish Interior</li><li> Decent Ground clearance for city rides</li><li> feature loaded</li><li> CNG option available</li></ul>,<ul><li>Major compromise in safety</li><li> Lacks high speed stability</li></ul>,662526a41dc6cd46bdca6ab8 Aura,,1.2 Litre Petrol,An allrounder,"<pre class=""ql-syntax"" spellcheck=""false"">Great motor with good performance and fun to drive.</pre><p><br></p>","82 Bhp, 114 Nm, 5-Speed",,"82 Bhp, 114 Nm, 5-Speed",1.2 Litre CNG,An allrounder,"<pre class=""ql-syntax"" spellcheck=""false"">Great motor with good performance and fun to drive.</pre><p><br></p>",,,"68 Bhp, 95 Nm, 5-Speed",,,,,,,,,,,,,3 Years / Unlimited Kms,"7 Years / 1,00,000 Kms","10,000 Kms / 12 Months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662526a41dc6cd46bdca6ab8,Creta,Updated,2024,3.8,,,,,SUV,COMPACT,true,,,,,,,,,,,,,,,,,,,<ul><li>5</li></ul>,<ul><li>Petrol</li><li>Diesel</li></ul>,<ul><li>Manual</li><li>AT</li><li>CVT</li><li>DCT</li></ul>,3,false,<ul><li>DRIVING DYNAMICS- 3.8</li><li>MILEAGE- 4.5</li><li>RIDE & COMFORT4.4</li><li>RESALE- 3.5</li><li>SERVICE COST- 4.4</li></ul>,,<ul><li>Spacious cabin</li><li> New design</li><li> Feature loaded</li><li> Multiple powertrain options</li><li> Comfortable seats. </li></ul>,<ul><li>Top end trims are expensive</li><li> only 2 headrests on the rear seats</li><li> No manual transmission option with Turbo Engine.</li></ul>,662526a41dc6cd46bdca6ab8 Creta,,1.5 Litre Petrol,Best for those seeking mileage,"<pre class=""ql-syntax"" spellcheck=""false"">engine is best used for sedate and smooth driving. Its does not like harsh acceleration and has bad NVH levels further up the rev range</pre><p><br></p>","113 Bhp, 144 Nm, NA",,"113 Bhp, 144 Nm, 6-Speed",1.5 Litre Turbo Petrol,Best for those seeking mileage,"<pre class=""ql-syntax"" spellcheck=""false"">engine is best used for sedate and smooth driving. Its does not like harsh acceleration and has bad NVH levels further up the rev range</pre><p><br></p>","158 Bhp, 253 Nm, 7-Speed",,,1.5 Litre Diesel,Best for those seeking mileage,"<pre class=""ql-syntax"" spellcheck=""false"">engine is best used for sedate and smooth driving. Its does not like harsh acceleration and has bad NVH levels further up the rev range</pre><p><br></p>","114 Bhp, 250 Nm, 6-Speed",,"114 Bhp, 250 Nm, 6-Speed",,,,,,,3 Years / Unlimited Kms,"7 Years / 1,00,000 Kms","10,000 Kms / 12 Months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662526a41dc6cd46bdca6ab8,Grand i10 Nios,Updated,2023,4.2,,,,,Hatchback,MID-LEVEL,true,,,,,,,,,,,,,,,,,,,<ul><li>5</li></ul>,<ul><li>Petrol</li><li>CNG</li></ul>,<ul><li>Manual</li><li>AMT</li></ul>,2,false,<ul><li>DRIVING DYNAMICS- 3.5</li><li>MILEAGE- 3.8</li><li>RIDE & COMFORT4.1</li><li>RESALE- 4.8</li><li>SERVICE COST- 4.0</li></ul>,,<ul><li>Easy to drive good city car</li><li> Stylish interiors</li><li> CNG available</li></ul>,<ul><li>Lacks in safety and built quality</li><li> lacks high speed stability</li></ul>,662526a41dc6cd46bdca6ab8 Grand i10 Nios,,1.2 Litre Petrol,Best for enthusiasts,"<pre class=""ql-syntax"" spellcheck=""false"">Powerful with great low end torque. Decent fuel efficency but can be a great highway crusier and city car too with it's automatic gearbox</pre><p><br></p>","82 Bhp, 114 Nm, 5-Speed",,"82 Bhp, 114 Nm, 5-Speed",1.2 Litre CNG,Best for enthusiasts,"<pre class=""ql-syntax"" spellcheck=""false"">Powerful with great low end torque. Decent fuel efficency but can be a great highway crusier and city car too with it's automatic gearbox</pre><p><br></p>",,,"68 Bhp, 95 Nm, 5-Speed",,,,,,,,,,,,,3 Years / Unlimited Kms,"7 Years / 1,00,000 Kms","10,000 Kms / 12 Months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662526a41dc6cd46bdca6ab8,i20,Updated,2023,3.8,,,,,Hatchback,PREMIUM LEVEL,true,,,,,,,,,,,,,,,,,,,<ul><li>5</li></ul>,<ul><li>Petrol</li></ul>,<ul><li>Manual</li><li>CVT</li></ul>,3,false,<ul><li>DRIVING DYNAMICS- 3.6</li><li>MILEAGE- 3.9</li><li>RIDE & COMFORT4.2</li><li>RESALE- 3.9</li><li>SERVICE COST- 3.7</li></ul>,,<ul><li>Premium Interiors</li><li> Good high speed stability</li><li> Refined engines</li><li> loaded with features</li></ul>,<ul><li>Lacks in safety and build quality</li><li> Pricing is on the higher side</li><li> Average ride quality</li></ul>,662526a41dc6cd46bdca6ab8 i20,,1.2 Litre Petrol,Best for city driving,"<pre class=""ql-syntax"" spellcheck=""false"">engine is suitable for individuals that drive a lot and have constant highway commuting</pre><p><br></p>","82 Bhp, 115 Nm, NA",,"82 Bhp, 115 Nm, 5-Speed",,,,,,,,,,,,,,,,,,,3 Years / Unlimited Kms,"7 Years / 1,00,000 Kms","10,000 Kms / 12 Months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662526a41dc6cd46bdca6ab8,i20 N-line,Updated,2023,4.2,,,,,Hatchback,PREMIUM LEVEL,true,,,,,,,,,,,,,,,,,,,<ul><li>5</li></ul>,<ul><li>Petrol</li></ul>,<ul><li>Manual</li><li>DCT</li></ul>,3,false,<ul><li>DRIVING DYNAMICS- 3.7</li><li>MILEAGE- 4.1</li><li>RIDE & COMFORT4.3</li><li>RESALE- 3.3</li><li>SERVICE COST- 3.9</li></ul>,,<ul><li>Premium Interiors</li><li>Good high speed stability</li><li> Refined engines</li><li> loaded with features</li><li> Sporty looks.</li></ul>,<ul><li>Lacks in safety and build quality</li><li> Pricing is on the higher side</li><li> Average ride quality</li></ul>,662526a41dc6cd46bdca6ab8 i20 N-line,,1 Litre Petrol,An allrounder,"<pre class=""ql-syntax"" spellcheck=""false"">Great motor with good performance and fun to drive.</pre><p><br></p>","118 Bhp, 172 Nm, 7-Speed",,"118 Bhp, 172 Nm, 6-Speed",,,,,,,,,,,,,,,,,,,3 Years / Unlimited Kms,"7 Years / 1,00,000 Kms","10,000 Kms / 12 Months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662526a41dc6cd46bdca6ab8,Kona,Launched,2019,3.8,,,,,SUV,COMPACT ELECTRIC,true,,,,,,,,,,,,,,,,,,,<ul><li>5</li></ul>,<ul><li>Electric</li></ul>,<ul><li>Automatic</li></ul>,NA,false,<ul><li>DRIVING DYNAMICS- 3.8</li><li>MILEAGE- 4.5</li><li>RIDE & COMFORT4.4</li><li>RESALE- 3.5</li><li>SERVICE COST- 4.4</li></ul>,,<ul><li>Good to drive</li><li> Decent range</li></ul>,<ul><li>Outdated interiors</li><li> Cramped 2nd row</li><li> lacks features</li></ul>,662526a41dc6cd46bdca6ab8 Kona,,"39.2kWh	Electric",Best for those seeking mileage,"<pre class=""ql-syntax"" spellcheck=""false"">engine is best used for sedate and smooth driving. Its does not like harsh acceleration and has bad NVH levels further up the rev range</pre><p><br></p>","134 Bhp, 395 Nm, NA",,,,,,,,,,,,,,,,,,,,,3 Years / Unlimited Kms,"5 Years / 1,40,000 Kms","10,000 Kms / 12 Months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662526a41dc6cd46bdca6ab8,IONIQ 5,Launched,2023,4.2,,,,,SUV,COMPACT ELECTRIC,true,,,,,,,,,,,,,,,,,,,<ul><li>5</li></ul>,<ul><li>Electric</li></ul>,<ul><li>Automatic</li></ul>,NA,false,<ul><li>DRIVING DYNAMICS- 3.5</li><li>MILEAGE- 3.8</li><li>RIDE & COMFORT4.1</li><li>RESALE- 4.8</li><li>SERVICE COST- 4.0</li></ul>,,<ul><li>Ultra-rapid charging</li><li> Brilliant range</li><li> spacious interiors</li><li> great performance </li></ul>,<ul><li>No rear wiper</li><li> No AWD option</li><li> Limited frunk space</li></ul>,662526a41dc6cd46bdca6ab8 IONIQ 5,,"72.6kWh	Electric",Best for enthusiasts,"<pre class=""ql-syntax"" spellcheck=""false"">Powerful with great low end torque. Decent fuel efficency but can be a great highway crusier and city car too with it's automatic gearbox</pre><p><br></p>","214 Bhp, 350 Nm, NA",,,,,,,,,,,,,,,,,,,,,3 Years / Unlimited Kms,"5 Years / 1,40,000 Kms","10,000 Kms / 12 Months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662526a41dc6cd46bdca6ab8,Tucson,Updated,2022,3.8,,,,,SUV,MID-LEVEL,true,,,,,,,,,,,,,,,,,,,<ul><li>5</li></ul>,<ul><li>Petrol</li><li>Diesel</li></ul>,<ul><li>AT</li></ul>,5,false,<ul><li>DRIVING DYNAMICS- 3.6</li><li>MILEAGE- 3.9</li><li>RIDE & COMFORT4.2</li><li>RESALE- 3.9</li><li>SERVICE COST- 3.7</li></ul>,,<ul><li>Comforable and Spacious 5-seater car</li><li> Loaded with a lot of features</li><li> Multiple Drivetrain benifit</li><li> Good Dealership network throughout the country.</li></ul>,<ul><li>The cost of the car is on the higher side</li><li> No 7-seater option in the car.</li></ul>,662526a41dc6cd46bdca6ab8 Tucson,,2 Litre Petrol,Best for city driving,"<pre class=""ql-syntax"" spellcheck=""false"">engine is suitable for individuals that drive a lot and have constant highway commuting</pre><p><br></p>","154 Bhp, 192 Nm, 6-Speed",,,2 Litre Diesel,Best for city driving,"<pre class=""ql-syntax"" spellcheck=""false"">engine is suitable for individuals that drive a lot and have constant highway commuting</pre><p><br></p>","183 Bhp, 416 Nm, 8-Speed",,,,,,,,,,,,,,,3 Years / Unlimited Kms,"5 Years / 1,40,000 Kms","10,000 Kms / 12 Months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
